"id","fqdn/ip","port","severity","finding","cve","cwe"
"certificate_transparency","www.dataregion.fr/52.206.163.162","443","OK","yes (certificate extension)","",""
"certs_countServer","www.dataregion.fr/52.206.163.162","443","INFO","2","",""
"certs_list_ordering_problem","www.dataregion.fr/52.206.163.162","443","INFO","no","",""
"cert_caIssuers","www.dataregion.fr/52.206.163.162","443","INFO","R11 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.dataregion.fr/52.206.163.162","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBjCCAu6gAwIBAgIRAIp9PhPWLzDvI4a9KQdrNPgwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAzMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDEMMAoGA1UEAxMDUjExMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuoe8XBsAOcvKCs3UZxD5ATylTqVhyybKUvsVAbe5KPUoHu0nsyQYOWcJDAjs4DqwO3cOvfPlOVRBDE6uQdaZdN5R2+97/1i9qLcT9t4x1fJyyXJqC4N0lZxGAGQUmfOx2SLZzaiSqhwmej/+71gFewiVgdtxD4774zEJuwm+UE1fj5F2PVqdnoPy6cRms+EGZkNIGIBloDcYmpuEMpexsr3E+BUAnSeI++JjF5ZsmydnS8TbKF5pwnnwSVzgJFDhxLyhBax7QG0AtMJBP6dYuC/FXJuluwme8f7rsIU5/agK70XEeOtlKsLPXzze41xNG/cLJyuqC0J3U095ah2H2QIDAQABo4H4MIH1MA4GA1UdDwEB/wQEAwIBhjAdBgNVHSUEFjAUBggrBgEFBQcDAgYIKwYBBQUHAwEwEgYDVR0TAQH/BAgwBgEB/wIBADAdBgNVHQ4EFgQUxc9GpOr0w8B6bJXELbBeki8m47kwHwYDVR0jBBgwFoAUebRZ5nu25eQBc4AIiMgaWPbpm24wMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8veDEuaS5sZW5jci5vcmcvMBMGA1UdIAQMMAowCAYGZ4EMAQIBMCcGA1UdHwQgMB4wHKAaoBiGFmh0dHA6Ly94MS5jLmxlbmNyLm9yZy8wDQYJKoZIhvcNAQELBQADggIBAE7iiV0KAxyQOND1H/lxXPjDj7I3iHpvsCUf7b632IYGjukJhM1yv4Hz/MrPU0jtvfZpQtSlET41yBOykh0FX+ou1Nj4ScOt9ZmWnO8m2OG0JAtIIE3801S0qcYhyOE2G/93ZCkXufBL713qzXnQv5C/viOykNpKqUgxdKlEC+Hi9i2DcaR1e9KUwQUZRhy5j/PEdEglKg3l9dtD4tuTm7kZtB8v32oOjzHTYw+7KdzdZiw/sBtnUfhBPORNuay4pJxmY/WrhSMdzFO2q3Gu3MUBcdo27goYKjL9CTF8j/Zz55yctUoVaneCWs/ajUX+HypkBTA+c8LGDLnWO2NKq0YD/pnARkAnYGPfUDoHR9gVSp/qRx+ZWghiDLZsMwhN1zjtSC0uBWiugF3vTNzYIEFfaPG7Ws3jDrAMMYebQ95JQ+HIBD/RPBuHRTBpqKlyDnkSHDHYPiNX3adPoPAcgdF3H2/W0rmoswMWgTlLn1Wu0mrks7/qpdWfS6PJ1jty80r2VKsM/Dj3YIDfbjXKdaFU5C+8bhfJGqU3taKauuz0wHVGT3eo6FlWkWYtbt4pgdamlwVeZEW+LM7qZEJEsMNPrfC03APKmZsJgpWCDWOKZvkZcvjVuYkQ4omYCTX5ohy+knMjdOmdH9c7SpqEWBDC86fiNex+O0XOMEZSa8DA\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.dataregion.fr/52.206.163.162","443","INFO","591E9CE6C863D3A079E9FABE1478C7339A26B21269DDE795211361024AE31A44","",""
"intermediate_cert_notBefore <#1>","www.dataregion.fr/52.206.163.162","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","www.dataregion.fr/52.206.163.162","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","www.dataregion.fr/52.206.163.162","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.dataregion.fr/52.206.163.162","443","INFO","R11 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","www.dataregion.fr/52.206.163.162","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.dataregion.fr/52.206.163.162","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","www.dataregion.fr/52.206.163.162","443","INFO","+822207 seconds from localtime","",""
"HTTP_headerTime","www.dataregion.fr/52.206.163.162","443","INFO","1727621881","",""
"HTTP_headerAge","www.dataregion.fr/52.206.163.162","443","INFO","822207 seconds","",""
"HSTS_time","www.dataregion.fr/52.206.163.162","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","www.dataregion.fr/52.206.163.162","443","INFO","only for this domain","",""
"HSTS_preload","www.dataregion.fr/52.206.163.162","443","INFO","domain is NOT marked for preloading","",""
"HPKP","www.dataregion.fr/52.206.163.162","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.dataregion.fr/52.206.163.162","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","www.dataregion.fr/52.206.163.162","443","INFO","No application banner found","",""
"cookie_count","www.dataregion.fr/52.206.163.162","443","INFO","0 at '/'","",""
"X-Served-By","www.dataregion.fr/52.206.163.162","443","INFO","cache-iad-kcgs7200108-IAD","",""
"banner_reverseproxy","www.dataregion.fr/52.206.163.162","443","INFO","X-Cache: HITX-Cache-Hits: 1","","CWE-200"
"heartbleed","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.dataregion.fr/52.206.163.162","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.dataregion.fr/52.206.163.162","443","OK","supported","","CWE-310"
"secure_client_renego","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.dataregion.fr/52.206.163.162","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.dataregion.fr/52.206.163.162","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.dataregion.fr/52.206.163.162","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=A9B31A668CB5FA9138742C0D53A0C8EA061158285299285F821D4F23BA348BE6","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.dataregion.fr/52.206.163.162","443","OK","--","CVE-2015-4000","CWE-310"
"BEAST","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.dataregion.fr/52.206.163.162","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","www.dataregion.fr/52.206.163.162","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.dataregion.fr/52.206.163.162","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.dataregion.fr/52.206.163.162","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","www.dataregion.fr/52.206.163.162","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_130_osx_10146","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","www.dataregion.fr/52.206.163.162","443","INFO","No connection","",""
"clientsimulation-java_8u161","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","www.dataregion.fr/52.206.163.162","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","www.dataregion.fr/52.206.163.162","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.dataregion.fr/52.206.163.162","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.dataregion.fr/52.206.163.162","443","INFO","100","",""
"protocol_support_score_weighted","www.dataregion.fr/52.206.163.162","443","INFO","30","",""
"key_exchange_score","www.dataregion.fr/52.206.163.162","443","INFO","90","",""
"key_exchange_score_weighted","www.dataregion.fr/52.206.163.162","443","INFO","27","",""
"cipher_strength_score","www.dataregion.fr/52.206.163.162","443","INFO","60","",""
"cipher_strength_score_weighted","www.dataregion.fr/52.206.163.162","443","INFO","24","",""
"final_score","www.dataregion.fr/52.206.163.162","443","INFO","81","",""
"overall_grade","www.dataregion.fr/52.206.163.162","443","OK","A+","",""
